model,girderName,L,D,w_oh,ts,S,Nb,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx62-L_93-Nb_7-S_90-O_26-ts_100,Tx62,93.0,62.0,2.6666666666666665,10.0,9.0,7.0,0.6286672062275773,0.3013404632517726,0.08505406212657472,0.007068194299913411,0.9806455813164197,0.06773285240249957,0.014956826486883195,-0.035668882308439204,7.141868778148819e-05,0.1444482803344726,0.0612022504210472,0.0169775653630495,0.0007730485522188
Tx62-L_93-Nb_7-S_90-O_35-ts_85,Tx62,93.0,62.0,3.5833333333333335,8.5,9.0,7.0,0.7026574941220725,0.2687185416423641,0.05240517208150893,1.5785144657847626e-05,1.0806777553754796,-0.02198719968076198,-0.0014249792611715749,-0.04247941343242569,7.418815802395784e-05,0.1664484441280365,0.0575350522994995,0.0110320942476391,-2.5759677593099027e-34
Tx62-L_93-Nb_7-S_90-O_35-ts_100,Tx62,93.0,62.0,3.5833333333333335,10.0,9.0,7.0,0.6730240875625709,0.288339037268047,0.06837064978604775,6.894443932578213e-05,1.0582635248647447,0.0035698793472753697,0.009156933856259476,-0.04376360624576472,7.59886950731925e-05,0.1489464342594146,0.0580296590924263,0.0136904586106538,-2.653204855409879e-34
Tx62-L_93-Nb_7-S_90-O_45-ts_85,Tx62,93.0,62.0,4.5,8.5,9.0,7.0,0.7501908505794284,0.25133314063262735,0.03460600454770423,-4.513783505796674e-06,1.1614164146496084,-0.0919433278729103,-0.006481359994534464,-0.04965885416662694,7.221214487174166e-05,0.1719429194927215,0.0531565882265567,0.0073031331412494,-3.0109406175549774e-34
Tx62-L_93-Nb_7-S_90-O_45-ts_100,Tx62,93.0,62.0,4.5,10.0,9.0,7.0,0.7162310093646715,0.27562548656855435,0.051887067869076306,4.904536470975381e-05,1.1360027721765105,-0.060882444976429785,0.0035207197948140517,-0.05184860131044239,6.788627815978998e-05,0.1535008996725082,0.0549306198954582,0.0104534327983856,-3.1431160033440686e-34
Tx62-L_93-Nb_7-S_120-O_17-ts_85,Tx62,93.0,62.0,1.75,8.5,12.0,7.0,0.6866134813267718,0.2647418969435582,0.0393393744941297,-1.3801703201466971e-05,0.9523940692196682,0.08997608996968606,-0.018365882791483962,-0.020033570648505476,7.27080554696613e-05,0.1667056828737259,0.0528625361621379,0.0067433225922286,-1.2165344861115918e-34
Tx62-L_93-Nb_7-S_120-O_17-ts_100,Tx62,93.0,62.0,1.75,10.0,12.0,7.0,0.6654155008280799,0.2817292557904248,0.049275976028017775,1.2660423170298577e-05,0.9389101142465607,0.10668475932451142,-0.011202833606341844,-0.025057304792486673,7.028953741894384e-05,0.150739774107933,0.0529040582478046,0.0084303943440318,-1.5204810502132532e-34
Tx62-L_93-Nb_7-S_120-O_31-ts_85,Tx62,93.0,62.0,3.1666666666666665,8.5,12.0,7.0,0.7611491116500636,0.22273143330617706,0.01648215593323536,-3.333193700738267e-05,1.057058299730337,-0.009795944377932351,-0.022209233765943255,-0.02338562930525683,7.029716678630393e-05,0.1749440431594848,0.0436302907764911,0.0023470518644899,-1.4193183966823456e-34
Tx62-L_93-Nb_7-S_120-O_31-ts_100,Tx62,93.0,62.0,3.1666666666666665,10.0,12.0,7.0,0.7344533857472831,0.24850961575499447,0.025409794484891224,-1.2443635102314012e-05,1.0411896841389519,0.013196524015026405,-0.016982200048289504,-0.03051432029147424,6.650535773644606e-05,0.1576713919639587,0.0459402576088905,0.0041391942650079,-1.8509460321854958e-34
Tx62-L_93-Nb_7-S_120-O_45-ts_85,Tx62,93.0,62.0,4.583333333333334,8.5,12.0,7.0,0.8344523837045777,0.18098558600209053,6.37164219369745e-05,-5.265349347945454e-05,1.161664902552834,-0.10945705225125651,-0.026108831590200884,-0.02673273426997189,7.384483528483088e-05,0.1833429783582687,0.0345045626163482,-1.5876687027630307e-34,-1.6217889186224602e-34
Tx62-L_93-Nb_7-S_120-O_45-ts_100,Tx62,93.0,62.0,4.583333333333334,10.0,12.0,7.0,0.8018733572275545,0.21562064978592993,0.0017895758661873376,-3.74517194906626e-05,1.1432656249990851,-0.07990456464207316,-0.022946929603476267,-0.03595809181784757,6.836692998035687e-05,0.16482774913311,0.0390875376760959,2.7548871003091332e-05,-2.180602402614067e-34
Tx62-L_93-Nb_7-S_120-O_60-ts_85,Tx62,93.0,62.0,6.0,8.5,12.0,7.0,0.9063279762585728,0.13991313061229027,3.333718734340417e-06,-7.174702729356036e-05,1.26626738911189,-0.2092324218748326,-0.029853765015937138,-0.030106526692684245,7.681266971815148e-05,0.1919061690568924,0.0255510061979293,-1.8160213373797222e-34,-1.8258616255874207e-34
Tx62-L_93-Nb_7-S_120-O_60-ts_100,Tx62,93.0,62.0,6.0,10.0,12.0,7.0,0.8674598990242415,0.18349624234000814,0.00010516630053562326,-6.218061396784635e-05,1.2453639112893262,-0.17318766801061414,-0.028713407783075146,-0.04141938371552465,8.685295294696971e-05,0.1721552014350891,0.0324065871536731,-1.7454839851075815e-34,-2.511308911941205e-34
Tx62-L_124-Nb_7-S_60-O_17-ts_85,Tx62,124.0,62.0,1.75,8.5,6.0,7.0,0.4237047346510658,0.3106228321190716,0.1846389394726237,0.0905265240200455,0.7885590977816271,0.15025127583153303,0.10450203187995671,0.022003479003888646,9.6435447645149e-05,0.3659106791019439,0.2435265034437179,0.1432679593563079,0.0704688653349876
Tx62-L_124-Nb_7-S_60-O_17-ts_100,Tx62,124.0,62.0,1.75,10.0,6.0,7.0,0.40423313388798743,0.3062494146719714,0.19100164758916388,0.10001171739499456,0.7713020413300281,0.15938082787285637,0.10981498865918633,0.03483174773182698,9.14305648507252e-05,0.3266245126724243,0.2246059775352478,0.1384477764368057,0.0725981891155242
Tx62-L_124-Nb_7-S_60-O_21-ts_85,Tx62,124.0,62.0,2.1666666666666665,8.5,6.0,7.0,0.4391789368709632,0.310100676378524,0.18136578650696553,0.08694197667353432,0.8263996345759518,0.12286934538800655,0.10382396673378791,0.017147709015863297,8.874501796185541e-05,0.3695681691169739,0.2425484657287597,0.1405381858348846,0.0677465349435806
Tx62-L_124-Nb_7-S_60-O_21-ts_100,Tx62,124.0,62.0,2.1666666666666665,10.0,6.0,7.0,0.41852809573327593,0.305957422823203,0.1884208289974212,0.09690261879978374,0.8076350806445152,0.13392011088698963,0.10854567792330025,0.030833870180166863,9.521474456164469e-05,0.3292786777019501,0.223936527967453,0.1363655924797058,0.0703760236501693
Tx62-L_124-Nb_7-S_60-O_25-ts_85,Tx62,124.0,62.0,2.5833333333333335,8.5,6.0,7.0,0.45464065209814475,0.3096589706900055,0.1780784122440476,0.08331993041096351,0.8631029485880192,0.09733846553671648,0.1026449013986074,0.012280196651325861,9.826650237698686e-05,0.3734631240367889,0.2416439205408096,0.1378092467784881,0.0650000348687172
Tx62-L_124-Nb_7-S_60-O_25-ts_100,Tx62,124.0,62.0,2.5833333333333335,10.0,6.0,7.0,0.43278026361394445,0.3058051075266371,0.18585587929225503,0.09376092611855141,0.842476058467068,0.11077780052914524,0.10679478011584198,0.026799308530724528,9.75340804956204e-05,0.3322137296199798,0.2233796417713165,0.1343080550432205,0.0681356191635131
Tx62-L_124-Nb_7-S_60-O_30-ts_85,Tx62,124.0,62.0,3.0,8.5,6.0,7.0,0.46983142559795915,0.3092385752685698,0.17480819675671064,0.07971547108040795,0.8997733114912155,0.07186079259066831,0.10145671622975753,0.0074165767546563646,0.00011022939294491607,0.3773857951164245,0.2407605648040771,0.1350981742143631,0.0622702315449714
Tx62-L_124-Nb_7-S_60-O_30-ts_100,Tx62,124.0,62.0,3.0,10.0,6.0,7.0,0.4467151404783107,0.3056957596251456,0.18331815816842773,0.09063829994789835,0.8771753402210725,0.08785301946817568,0.10500303206896841,0.022768198320924322,0.00010498036949968537,0.3352062404155731,0.2228602170944214,0.1322753578424453,0.0659118741750717
Tx62-L_124-Nb_7-S_90-O_17-ts_85,Tx62,124.0,62.0,1.75,8.5,9.0,7.0,0.5231094346163002,0.32720636056165286,0.14036986212267646,0.04085550533295378,0.8514679939509316,0.15634885332648782,0.052773752520119066,-0.017705095844869907,0.00010101308437526768,0.4170058369636535,0.2258172929286956,0.0960273593664169,0.0273784548044204
Tx62-L_124-Nb_7-S_90-O_17-ts_100,Tx62,124.0,62.0,1.75,10.0,9.0,7.0,0.5009357440162485,0.3295807318762538,0.15336580818579476,0.04987539021848247,0.834357799898526,0.16414149130531222,0.06602180333286048,-0.009131377189382816,9.558095550232792e-05,0.3726291060447693,0.2127139568328857,0.0980542451143264,0.0317317694425582
