model,girderName,radius,L,D,w_oh,ts,S,Nb,I,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
PG-24-L_90-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-24,1000,90,38.625,4.333333333,8.5,12,4,13787.98,674354.8,0.758,0.367,0.064,0,1.048,0.115,0.046,-0.187,1.924,0.908,0.414,0.091,0
PG-24-L_90-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-24,1000,90,38.625,6,8.5,12,4,13787.98,674354.8,0.802,0.368,0.047,0,1.143,0.052,0.039,-0.21,2.074,0.945,0.408,0.077,0
PG-25-L_100-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,1,8.5,6,4,13363.24,691560.92,0.513,0.349,0.164,0,0.84,0.264,0.138,-0.231,0.904,1.154,0.752,0.365,0
PG-25-L_100-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,1.666666667,8.5,6,4,13363.24,691560.92,0.535,0.352,0.157,0,0.898,0.232,0.142,-0.261,0.971,1.162,0.748,0.355,0
PG-25-L_100-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,2.333333333,8.5,6,4,13363.24,691560.92,0.557,0.355,0.151,0,0.956,0.202,0.145,-0.291,1.038,1.172,0.746,0.345,0
PG-25-L_100-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,3,8.5,6,4,13363.24,691560.92,0.578,0.358,0.145,0,1.014,0.172,0.147,-0.32,1.104,1.184,0.746,0.336,0
PG-25-L_100-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,1,8.5,9,4,13363.24,691560.92,0.589,0.368,0.135,0,0.841,0.26,0.104,-0.191,1.354,1.219,0.72,0.274,0
PG-25-L_100-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,2.166666667,8.5,9,4,13363.24,691560.92,0.623,0.371,0.124,0,0.916,0.214,0.106,-0.221,1.471,1.237,0.715,0.26,0
PG-25-L_100-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,3.333333333,8.5,9,4,13363.24,691560.92,0.656,0.375,0.114,0,0.992,0.169,0.106,-0.25,1.588,1.261,0.712,0.247,0
PG-25-L_100-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,4.5,8.5,9,4,13363.24,691560.92,0.687,0.378,0.103,0,1.068,0.124,0.106,-0.28,1.704,1.288,0.712,0.234,0
PG-25-L_100-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,1,8.5,12,4,13363.24,691560.92,0.643,0.369,0.111,0,0.853,0.251,0.075,-0.16,1.804,1.262,0.681,0.213,0
PG-25-L_100-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,2.666666667,8.5,12,4,13363.24,691560.92,0.687,0.368,0.095,0,0.942,0.193,0.072,-0.186,1.971,1.295,0.67,0.194,0
PG-25-L_100-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,4.333333333,8.5,12,4,13363.24,691560.92,0.73,0.369,0.08,0,1.031,0.135,0.068,-0.212,2.138,1.336,0.663,0.176,0
PG-25-L_100-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-25,1000,100,34.375,6,8.5,12,4,13363.24,691560.92,0.771,0.369,0.065,0,1.12,0.077,0.064,-0.237,2.304,1.381,0.658,0.158,0
PG-26-L_100-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,1,8.5,6,4,14643.65,722370.84,0.52,0.351,0.162,0,0.839,0.269,0.134,-0.232,0.904,1.11,0.719,0.344,0
PG-26-L_100-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,1.666666667,8.5,6,4,14643.65,722370.84,0.543,0.354,0.155,0,0.897,0.238,0.138,-0.261,0.971,1.118,0.716,0.334,0
PG-26-L_100-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,2.333333333,8.5,6,4,14643.65,722370.84,0.565,0.357,0.148,0,0.954,0.209,0.14,-0.291,1.038,1.129,0.715,0.325,0
PG-26-L_100-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,3,8.5,6,4,14643.65,722370.84,0.586,0.361,0.142,0,1.012,0.179,0.142,-0.321,1.104,1.141,0.715,0.316,0
PG-26-L_100-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,1,8.5,9,4,14643.65,722370.84,0.596,0.37,0.133,0,0.84,0.264,0.102,-0.191,1.354,1.169,0.689,0.258,0
PG-26-L_100-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,2.166666667,8.5,9,4,14643.65,722370.84,0.629,0.373,0.122,0,0.915,0.219,0.103,-0.221,1.471,1.189,0.684,0.245,0
PG-26-L_100-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,3.333333333,8.5,9,4,14643.65,722370.84,0.662,0.376,0.112,0,0.99,0.174,0.103,-0.251,1.588,1.212,0.682,0.232,0
PG-26-L_100-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,4.5,8.5,9,4,14643.65,722370.84,0.694,0.38,0.101,0,1.066,0.129,0.103,-0.28,1.704,1.239,0.682,0.22,0
PG-26-L_100-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,1,8.5,12,4,14643.65,722370.84,0.649,0.37,0.109,0,0.852,0.253,0.074,-0.161,1.804,1.209,0.651,0.201,0
PG-26-L_100-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,2.666666667,8.5,12,4,14643.65,722370.84,0.693,0.37,0.094,0,0.94,0.196,0.071,-0.187,1.971,1.243,0.641,0.183,0
PG-26-L_100-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,4.333333333,8.5,12,4,14643.65,722370.84,0.735,0.37,0.079,0,1.029,0.139,0.067,-0.213,2.138,1.283,0.634,0.165,0
PG-26-L_100-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-26,1000,100,36.25,6,8.5,12,4,14643.65,722370.84,0.777,0.371,0.063,0,1.118,0.082,0.063,-0.239,2.304,1.328,0.63,0.148,0
PG-27-L_100-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,1,8.5,6,4,14915.27,779115.55,0.535,0.356,0.157,0,0.837,0.278,0.127,-0.231,0.904,1.041,0.667,0.308,0
PG-27-L_100-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,1.666666667,8.5,6,4,14915.27,779115.55,0.558,0.359,0.15,0,0.894,0.248,0.13,-0.261,0.971,1.049,0.664,0.299,0
PG-27-L_100-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,2.333333333,8.5,6,4,14915.27,779115.55,0.581,0.362,0.143,0,0.952,0.219,0.131,-0.29,1.038,1.059,0.664,0.291,0
PG-27-L_100-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,3,8.5,6,4,14915.27,779115.55,0.603,0.366,0.136,0,1.009,0.19,0.133,-0.32,1.104,1.072,0.664,0.283,0
PG-27-L_100-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,1,8.5,9,4,14915.27,779115.55,0.607,0.373,0.129,0,0.839,0.269,0.097,-0.191,1.354,1.089,0.636,0.231,0
PG-27-L_100-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,2.166666667,8.5,9,4,14915.27,779115.55,0.642,0.376,0.118,0,0.913,0.225,0.098,-0.221,1.471,1.108,0.632,0.219,0
PG-27-L_100-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,3.333333333,8.5,9,4,14915.27,779115.55,0.675,0.38,0.107,0,0.988,0.182,0.098,-0.251,1.588,1.131,0.63,0.207,0
PG-27-L_100-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,4.5,8.5,9,4,14915.27,779115.55,0.707,0.384,0.096,0,1.063,0.138,0.097,-0.28,1.704,1.157,0.631,0.196,0
PG-27-L_100-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,1,8.5,12,4,14915.27,779115.55,0.658,0.372,0.106,0,0.851,0.257,0.071,-0.161,1.804,1.122,0.599,0.18,0
PG-27-L_100-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,2.666666667,8.5,12,4,14915.27,779115.55,0.703,0.371,0.09,0,0.939,0.201,0.068,-0.187,1.971,1.155,0.59,0.163,0
PG-27-L_100-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,4.333333333,8.5,12,4,14915.27,779115.55,0.747,0.371,0.075,0,1.027,0.145,0.064,-0.213,2.138,1.193,0.584,0.147,0
PG-27-L_100-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-27,1000,100,38.875,6,8.5,12,4,14915.27,779115.55,0.789,0.372,0.059,0,1.116,0.088,0.059,-0.239,2.304,1.237,0.58,0.13,0
PG-28-L_110-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,1,8.5,6,4,17047.16,836996.27,0.506,0.348,0.167,0,0.847,0.262,0.144,-0.243,0.995,1.478,0.975,0.489,0.021
PG-28-L_110-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,1.666666667,8.5,6,4,17047.16,836996.27,0.528,0.35,0.161,0,0.904,0.231,0.149,-0.273,1.068,1.486,0.97,0.477,0.002
PG-28-L_110-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,2.333333333,8.5,6,4,17047.16,836996.27,0.55,0.353,0.154,0,0.961,0.202,0.152,-0.304,1.141,1.496,0.968,0.465,0
PG-28-L_110-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,3,8.5,6,4,17047.16,836996.27,0.57,0.357,0.148,0,1.019,0.172,0.155,-0.334,1.215,1.509,0.966,0.453,0
PG-28-L_110-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,1,8.5,9,4,17047.16,836996.27,0.584,0.369,0.139,0,0.844,0.262,0.11,-0.2,1.49,1.555,0.934,0.368,0
PG-28-L_110-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,2.166666667,8.5,9,4,17047.16,836996.27,0.617,0.372,0.128,0,0.918,0.217,0.112,-0.231,1.618,1.575,0.927,0.351,0
PG-28-L_110-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,3.333333333,8.5,9,4,17047.16,836996.27,0.648,0.376,0.118,0,0.992,0.173,0.114,-0.262,1.746,1.601,0.924,0.336,0
PG-28-L_110-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,4.5,8.5,9,4,17047.16,836996.27,0.679,0.38,0.108,0,1.067,0.129,0.115,-0.292,1.875,1.631,0.924,0.32,0
PG-28-L_110-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,1,8.5,12,4,17047.16,836996.27,0.637,0.373,0.115,0,0.852,0.255,0.081,-0.17,1.985,1.602,0.885,0.289,0
PG-28-L_110-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,2.666666667,8.5,12,4,17047.16,836996.27,0.68,0.373,0.101,0,0.939,0.199,0.079,-0.197,2.168,1.639,0.873,0.267,0
PG-28-L_110-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,4.333333333,8.5,12,4,17047.16,836996.27,0.721,0.374,0.086,0,1.027,0.143,0.076,-0.224,2.351,1.684,0.865,0.245,0
PG-28-L_110-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-28,1000,110,35.125,6,8.5,12,4,17047.16,836996.27,0.761,0.376,0.072,0,1.114,0.088,0.073,-0.251,2.535,1.736,0.861,0.224,0
PG-29-L_110-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,1,8.5,6,4,16994.65,868969.5,0.516,0.351,0.164,0,0.846,0.268,0.139,-0.243,0.995,1.422,0.931,0.457,0
PG-29-L_110-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,1.666666667,8.5,6,4,16994.65,868969.5,0.539,0.354,0.157,0,0.903,0.238,0.143,-0.273,1.068,1.43,0.927,0.445,0
PG-29-L_110-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,2.333333333,8.5,6,4,16994.65,868969.5,0.561,0.357,0.151,0,0.96,0.209,0.146,-0.304,1.141,1.441,0.925,0.434,0
PG-29-L_110-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,3,8.5,6,4,16994.65,868969.5,0.582,0.36,0.144,0,1.017,0.18,0.149,-0.334,1.215,1.454,0.924,0.423,0
PG-29-L_110-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,1,8.5,9,4,16994.65,868969.5,0.592,0.371,0.136,0,0.843,0.266,0.106,-0.201,1.49,1.489,0.889,0.344,0
PG-29-L_110-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,2.166666667,8.5,9,4,16994.65,868969.5,0.625,0.375,0.125,0,0.917,0.222,0.108,-0.232,1.618,1.509,0.883,0.328,0
PG-29-L_110-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,3.333333333,8.5,9,4,16994.65,868969.5,0.657,0.379,0.115,0,0.991,0.178,0.11,-0.262,1.746,1.535,0.881,0.313,0
PG-29-L_110-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,4.5,8.5,9,4,16994.65,868969.5,0.688,0.383,0.105,0,1.065,0.135,0.111,-0.293,1.875,1.565,0.881,0.298,0
PG-29-L_110-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,1,8.5,12,4,16994.65,868969.5,0.644,0.374,0.113,0,0.852,0.258,0.079,-0.17,1.985,1.531,0.841,0.27,0
PG-29-L_110-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,2.666666667,8.5,12,4,16994.65,868969.5,0.687,0.374,0.098,0,0.938,0.203,0.077,-0.197,2.168,1.567,0.83,0.249,0
PG-29-L_110-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,4.333333333,8.5,12,4,16994.65,868969.5,0.729,0.376,0.084,0,1.025,0.148,0.074,-0.225,2.351,1.612,0.823,0.228,0
PG-29-L_110-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-29,1000,110,36.75,6,8.5,12,4,16994.65,868969.5,0.769,0.377,0.069,0,1.113,0.092,0.071,-0.252,2.535,1.663,0.819,0.208,0
PG-30-L_110-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,1,8.5,6,4,18045.76,894819.03,0.525,0.353,0.16,0,0.844,0.276,0.134,-0.244,0.995,1.368,0.89,0.429,0
PG-30-L_110-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,1.666666667,8.5,6,4,18045.76,894819.03,0.548,0.357,0.154,0,0.902,0.246,0.137,-0.274,1.068,1.377,0.887,0.418,0
PG-30-L_110-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,2.333333333,8.5,6,4,18045.76,894819.03,0.57,0.36,0.147,0,0.958,0.218,0.14,-0.305,1.141,1.389,0.886,0.407,0
PG-30-L_110-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,3,8.5,6,4,18045.76,894819.03,0.591,0.364,0.141,0,1.015,0.19,0.142,-0.335,1.215,1.402,0.886,0.397,0
PG-30-L_110-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,1,8.5,9,4,18045.76,894819.03,0.599,0.373,0.134,0,0.842,0.271,0.104,-0.202,1.49,1.429,0.85,0.324,0
PG-30-L_110-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,2.166666667,8.5,9,4,18045.76,894819.03,0.632,0.377,0.123,0,0.915,0.228,0.105,-0.233,1.618,1.45,0.846,0.309,0
PG-30-L_110-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,3.333333333,8.5,9,4,18045.76,894819.03,0.665,0.381,0.113,0,0.989,0.185,0.107,-0.264,1.746,1.476,0.844,0.295,0
PG-30-L_110-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,4.5,8.5,9,4,18045.76,894819.03,0.696,0.385,0.103,0,1.063,0.142,0.107,-0.295,1.875,1.507,0.845,0.281,0
PG-30-L_110-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,1,8.5,12,4,18045.76,894819.03,0.649,0.376,0.112,0,0.85,0.262,0.078,-0.171,1.985,1.467,0.805,0.256,0
PG-30-L_110-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,2.666666667,8.5,12,4,18045.76,894819.03,0.692,0.376,0.097,0,0.936,0.208,0.076,-0.199,2.168,1.504,0.795,0.236,0
PG-30-L_110-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,4.333333333,8.5,12,4,18045.76,894819.03,0.734,0.378,0.083,0,1.023,0.153,0.073,-0.227,2.351,1.549,0.789,0.216,0
PG-30-L_110-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-30,1000,110,39.375,6,8.5,12,4,18045.76,894819.03,0.774,0.38,0.068,0,1.11,0.099,0.07,-0.255,2.535,1.6,0.787,0.197,0
PG-31-L_120-Nb_4-S_60-O_10-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,1,8.5,6,4,20773.08,1063505.76,0.522,0.354,0.162,0,0.853,0.275,0.138,-0.255,1.085,1.719,1.13,0.557,0.002
PG-31-L_120-Nb_4-S_60-O_16-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,1.666666667,8.5,6,4,20773.08,1063505.76,0.545,0.357,0.155,0,0.909,0.246,0.142,-0.286,1.165,1.727,1.125,0.544,0
PG-31-L_120-Nb_4-S_60-O_23-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,2.333333333,8.5,6,4,20773.08,1063505.76,0.567,0.36,0.149,0,0.965,0.218,0.145,-0.317,1.245,1.739,1.122,0.531,0
PG-31-L_120-Nb_4-S_60-O_30-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,3,8.5,6,4,20773.08,1063505.76,0.588,0.363,0.143,0,1.022,0.191,0.148,-0.348,1.325,1.753,1.121,0.52,0
PG-31-L_120-Nb_4-S_90-O_10-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,1,8.5,9,4,20773.08,1063505.76,0.596,0.375,0.135,0,0.846,0.272,0.107,-0.211,1.625,1.784,1.075,0.42,0
PG-31-L_120-Nb_4-S_90-O_21-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,2.166666667,8.5,9,4,20773.08,1063505.76,0.63,0.379,0.125,0,0.918,0.23,0.11,-0.243,1.765,1.805,1.069,0.403,0
PG-31-L_120-Nb_4-S_90-O_33-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,3.333333333,8.5,9,4,20773.08,1063505.76,0.662,0.383,0.116,0,0.991,0.189,0.112,-0.275,1.905,1.834,1.066,0.387,0
PG-31-L_120-Nb_4-S_90-O_45-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,4.5,8.5,9,4,20773.08,1063505.76,0.692,0.388,0.106,0,1.064,0.147,0.113,-0.306,2.045,1.867,1.067,0.371,0
PG-31-L_120-Nb_4-S_120-O_10-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,1,8.5,12,4,20773.08,1063505.76,0.646,0.379,0.114,0,0.851,0.266,0.082,-0.18,2.165,1.82,1.016,0.333,0
PG-31-L_120-Nb_4-S_120-O_26-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,2.666666667,8.5,12,4,20773.08,1063505.76,0.689,0.38,0.1,0,0.936,0.213,0.081,-0.209,2.365,1.86,1.005,0.31,0
PG-31-L_120-Nb_4-S_120-O_43-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,4.333333333,8.5,12,4,20773.08,1063505.76,0.73,0.383,0.087,0,1.021,0.16,0.079,-0.238,2.565,1.91,0.999,0.288,0
PG-31-L_120-Nb_4-S_120-O_60-ts_85-sk_0-R_1000,PG-31,1000,120,39.875,6,8.5,12,4,20773.08,1063505.76,0.769,0.386,0.073,0,1.107,0.108,0.077,-0.267,2.765,1.966,0.997,0.266,0
PG-1-L_60-Nb_5-S_60-O_10-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,1,8.5,6,5,3212.29,216024.28,0.505,0.34,0.177,0.047,0.802,0.227,0.096,0.033,0.723,0.394,0.251,0.131,0.036
PG-1-L_60-Nb_5-S_60-O_16-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,1.666666667,8.5,6,5,3212.29,216024.28,0.529,0.342,0.171,0.039,0.867,0.184,0.089,0.031,0.763,0.399,0.25,0.128,0.032
PG-1-L_60-Nb_5-S_60-O_23-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,2.333333333,8.5,6,5,3212.29,216024.28,0.552,0.344,0.166,0.031,0.932,0.142,0.082,0.028,0.803,0.406,0.249,0.124,0.029
PG-1-L_60-Nb_5-S_60-O_30-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,3,8.5,6,5,3212.29,216024.28,0.575,0.346,0.16,0.023,0.997,0.1,0.075,0.025,0.843,0.413,0.248,0.121,0.025
PG-1-L_60-Nb_5-S_90-O_10-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,1,8.5,9,5,3212.29,216024.28,0.596,0.343,0.134,0.012,0.849,0.205,0.056,-0.004,1.083,0.435,0.234,0.094,0.01
PG-1-L_60-Nb_5-S_90-O_21-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,2.166666667,8.5,9,5,3212.29,216024.28,0.636,0.338,0.121,0.002,0.94,0.137,0.046,-0.011,1.153,0.449,0.228,0.086,0.005
PG-1-L_60-Nb_5-S_90-O_33-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,3.333333333,8.5,9,5,3212.29,216024.28,0.675,0.334,0.107,0,1.032,0.07,0.037,-0.019,1.223,0.464,0.224,0.078,0
PG-1-L_60-Nb_5-S_90-O_45-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,4.5,8.5,9,5,3212.29,216024.28,0.712,0.33,0.094,0,1.124,0.002,0.027,-0.027,1.292,0.48,0.22,0.071,0
PG-1-L_60-Nb_5-S_120-O_10-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,1,8.5,12,5,3212.29,216024.28,0.671,0.327,0.091,0,0.893,0.179,0.022,-0.02,1.442,0.476,0.212,0.061,0
PG-1-L_60-Nb_5-S_120-O_26-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,2.666666667,8.5,12,5,3212.29,216024.28,0.728,0.31,0.07,0,1.005,0.09,0.01,-0.029,1.543,0.497,0.2,0.05,0
PG-1-L_60-Nb_5-S_120-O_43-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,4.333333333,8.5,12,5,3212.29,216024.28,0.782,0.295,0.049,0,1.118,0,-0.002,-0.037,1.643,0.521,0.189,0.039,0
PG-1-L_60-Nb_5-S_120-O_60-ts_85-sk_0-R_1000,PG-1,1000,60,21.875,6,8.5,12,5,3212.29,216024.28,0.835,0.28,0.029,0,1.23,-0.089,-0.014,-0.046,1.742,0.548,0.18,0.028,0
PG-2-L_60-Nb_5-S_60-O_10-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,1,8.5,6,5,3656.13,230783.96,0.516,0.344,0.176,0.042,0.798,0.234,0.096,0.029,0.723,0.367,0.233,0.12,0.031
PG-2-L_60-Nb_5-S_60-O_16-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,1.666666667,8.5,6,5,3656.13,230783.96,0.54,0.345,0.17,0.034,0.863,0.193,0.089,0.027,0.763,0.373,0.232,0.117,0.027
PG-2-L_60-Nb_5-S_60-O_23-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,2.333333333,8.5,6,5,3656.13,230783.96,0.563,0.347,0.165,0.026,0.927,0.152,0.082,0.024,0.803,0.38,0.231,0.114,0.024
PG-2-L_60-Nb_5-S_60-O_30-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,3,8.5,6,5,3656.13,230783.96,0.586,0.35,0.159,0.019,0.992,0.11,0.075,0.021,0.843,0.388,0.231,0.11,0.02
PG-2-L_60-Nb_5-S_90-O_10-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,1,8.5,9,5,3656.13,230783.96,0.605,0.343,0.132,0.009,0.846,0.209,0.056,-0.005,1.083,0.406,0.216,0.086,0.008
PG-2-L_60-Nb_5-S_90-O_21-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,2.166666667,8.5,9,5,3656.13,230783.96,0.646,0.338,0.119,0,0.937,0.143,0.047,-0.012,1.153,0.42,0.211,0.078,0.003
PG-2-L_60-Nb_5-S_90-O_33-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,3.333333333,8.5,9,5,3656.13,230783.96,0.685,0.334,0.105,0,1.029,0.076,0.037,-0.02,1.223,0.435,0.207,0.071,0
PG-2-L_60-Nb_5-S_90-O_45-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,4.5,8.5,9,5,3656.13,230783.96,0.722,0.331,0.092,0,1.12,0.009,0.028,-0.028,1.292,0.451,0.204,0.065,0
PG-2-L_60-Nb_5-S_120-O_10-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,1,8.5,12,5,3656.13,230783.96,0.68,0.326,0.088,0,0.892,0.181,0.022,-0.021,1.442,0.444,0.196,0.055,0
PG-2-L_60-Nb_5-S_120-O_26-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,2.666666667,8.5,12,5,3656.13,230783.96,0.737,0.308,0.067,0,1.003,0.093,0.01,-0.029,1.543,0.466,0.185,0.045,0
PG-2-L_60-Nb_5-S_120-O_43-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,4.333333333,8.5,12,5,3656.13,230783.96,0.793,0.292,0.046,0,1.115,0.004,-0.002,-0.038,1.643,0.49,0.175,0.034,0
PG-2-L_60-Nb_5-S_120-O_60-ts_85-sk_0-R_1000,PG-2,1000,60,24.5,6,8.5,12,5,3656.13,230783.96,0.847,0.277,0.026,0,1.228,-0.085,-0.013,-0.047,1.742,0.515,0.165,0.024,0
PG-3-L_60-Nb_5-S_60-O_10-ts_85-sk_0-R_1000,PG-3,1000,60,27.25,1,8.5,6,5,4898.44,268845.92,0.524,0.346,0.174,0.039,0.799,0.237,0.095,0.026,0.723,0.323,0.203,0.104,0.025
PG-3-L_60-Nb_5-S_60-O_16-ts_85-sk_0-R_1000,PG-3,1000,60,27.25,1.666666667,8.5,6,5,4898.44,268845.92,0.549,0.348,0.168,0.03,0.862,0.197,0.088,0.023,0.763,0.329,0.202,0.101,0.022
