model,skew,girderName,L,D,w_oh,ts,S,Nb,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx84-L_210-Nb_6-S_90-O_38-ts_100,0,Tx84,210,84,3.805555555555555,10,9,6,8321965.338399999,0.46739718820824283,0.32335422524539514,0.18597575207846045,0.077701716,0.8761848958326324,0.088637314,0.127324526,0.011629164341508553,0.000163818,1.1645561456680298,0.7651649713516235,0.4359971284866333,0.1838751435279846
Tx84-L_210-Nb_6-S_90-O_45-ts_85,0,Tx84,210,84,4.5,8.5,9,6,8144494.2596499985,0.5081723356005005,0.3258430838999661,0.17219839758111696,0.061928447,0.9365313988087746,0.047292671,0.11847380952371475,-0.009301523,0.000164062,1.3099867105484009,0.8123854398727417,0.4278842508792877,0.15718928
Tx84-L_210-Nb_6-S_90-O_45-ts_100,0,Tx84,210,84,4.5,10,9,6,8321965.338399999,0.4831116250940958,0.32343011337842603,0.18308943310642947,0.074020091,0.9150418898802204,0.062081706,0.1273478701635886,0.005974,0.000133056,1.1762603521347046,0.7634117603302002,0.4284184575080871,0.1754917949438095
Tx84-L_210-Nb_6-S_120-O_24-ts_85,0,Tx84,210,84,2.4166666666666665,8.5,12,6,8144494.2596499985,0.5277578231288295,0.339108632,0.15087950113366613,0.037198779289463815,0.8493790178564634,0.1493578869046424,0.071665904,-0.016116154,0.000152588,1.3884812593460083,0.7855951189994812,0.350465715,0.088178024
Tx84-L_210-Nb_6-S_120-O_24-ts_100,0,Tx84,210,84,2.4166666666666665,10,12,6,8321965.338399999,0.5036517611485011,0.34054548752807223,0.16509176114877194,0.048765752,0.8306112351183832,0.1568944382439221,0.088033761,-0.004638229,0.000143066,1.2517012357711792,0.7454680800437927,0.3604657351970672,0.1083010882139206
Tx84-L_210-Nb_6-S_120-O_36-ts_85,0,Tx84,210,84,3.6111111111111107,8.5,12,6,8144494.2596499985,0.5596309599390836,0.33489424036254384,0.1407095993952011,0.029825107709726708,0.9114680059516517,0.10275094866063207,0.069202121,-0.025844736,0.000115234,1.4182003736495972,0.7712861895561218,0.3272303938865661,0.071789749
Tx84-L_210-Nb_6-S_120-O_36-ts_100,0,Tx84,210,84,3.6111111111111107,10,12,6,8321965.338399999,0.5326767044591355,0.3379852154192307,0.1568620105818851,0.041842162,0.8902200148802403,0.11284702380943352,0.086555422,-0.013865237,0.000124756,1.2745826244354248,0.7359723448753357,0.3422973453998565,0.093921646
Tx84-L_210-Nb_6-S_120-O_48-ts_85,0,Tx84,210,84,4.8055555555555545,8.5,12,6,8144494.2596499985,0.5909327891151734,0.3307599999997354,0.1305628420255947,0.022471007,0.973174628,0.056845717075847374,0.066479018,-0.035482729,0.000141113,1.448647379875183,0.7572429776191711,0.3041012585163116,0.055465892
Tx84-L_210-Nb_6-S_120-O_48-ts_100,0,Tx84,210,84,4.8055555555555545,10,12,6,8321965.338399999,0.5609886621310705,0.33557919879035886,0.14867700680260215,0.034921633,0.9491495535706692,0.069994001,0.084683352,-0.022943806,0.000145508,1.2984923124313354,0.7269057631492615,0.3242848813533783,0.079562381
Tx84-L_210-Nb_6-S_120-O_60-ts_85,0,Tx84,210,84,6,8.5,12,6,8144494.2596499985,0.621506274,0.3267455782310311,0.1205154572939323,0.015190034,1.0350127232134576,0.010668996465765274,0.063885417,-0.04508298,0.000125,1.479360818862915,0.7435232400894165,0.2812411785125732,0.039326876
